question_id,folder_name,subject_name,question_type,hint_count
339cc1d6-4d85-4e23-a131-c11243ecd6b8,Arabic,Arabic,FILL_IN_THE_BLANK,2
18d91324-821e-4f0f-b107-b7c2b91d01ad,Arabic,Arabic,FILL_IN_THE_BLANK,2
0b24f79d-38ae-468c-8895-a5d50801b5d6,Arabic,Arabic,FILL_IN_THE_BLANK,2
678eed4f-79e8-440e-831f-a98da538101c,Arabic,Arabic,FILL_IN_THE_BLANK,2
949953a1-d0b3-4114-9d32-b6d9d4fbbae8,Arabic,Arabic,FILL_IN_THE_BLANK,2
540a25c1-b24c-447f-9074-7ff9c2900cbe,Arabic,Arabic,FILL_IN_THE_BLANK_DRAG_DROP,2
f451333b-b467-4623-8718-2f438ec2b21b,Arabic,Arabic,FILL_IN_THE_BLANK_DRAG_DROP,2
91e2b518-d650-4ad2-8da5-17d9319c8284,Arabic,Arabic,FILL_IN_THE_BLANK_DRAG_DROP,2
d0058c88-6ab3-482b-82ec-869c451f44c4,Arabic,Arabic,FILL_IN_THE_BLANK_DRAG_DROP,2
7ecb67e5-250f-48d6-a667-169101e021c3,Arabic,Arabic,FILL_IN_THE_BLANK_DRAG_DROP,2
7b7827b3-57de-4fce-b592-5d79b0330270,Arabic,Arabic,FILL_IN_THE_BLANK_DRAG_DROP,2
4bfeb42e-f255-44ac-9e02-e29d616001ab,Arabic,Arabic,FILL_IN_THE_BLANK_DRAG_DROP,2
bbca5097-7a15-4b04-aa35-bf0e1fe5ec72,Arabic,Arabic,FILL_IN_THE_BLANK_DRAG_DROP,2
085bb1d6-6027-45b9-9a7e-77a3de6276e1,Arabic,Arabic,FILL_IN_THE_BLANK_DRAG_DROP,2
1d8eb104-2cb4-40c7-bccc-533a31decad6,Arabic,Arabic,FILL_IN_THE_BLANK_DRAG_DROP,2
33726719-7f5b-4fa0-a36c-5534e6a4c8f4,Arabic,Arabic,FILL_IN_THE_BLANK_DRAG_DROP,2
36ed4e8c-db09-4631-9786-520988aaebb6,Arabic,Arabic,FILL_IN_THE_BLANK_DRAG_DROP,2
0e0f4d22-88f5-40f6-be3b-503ec780d654,Arabic,Arabic,FILL_IN_THE_BLANK_DRAG_DROP,2
086e6c73-5057-4768-a3a5-21c1ee21a2a1,Arabic,Arabic,FILL_IN_THE_BLANK_DRAG_DROP,2
