timestamp,question_id,lesson,question_type,reason,file_path
2026-06-15T08:47:15.726328,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:15.739824,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:15.758516,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:15.772020,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:15.785524,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:15.798952,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:15.812672,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:15.826720,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:15.841233,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:15.856094,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:15.870405,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:15.884349,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:15.898696,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:15.918065,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:15.932952,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:15.947387,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:15.966333,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:15.981860,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:15.997239,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:16.012400,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:16.027148,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:16.042779,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:16.056761,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:16.070549,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:16.084548,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:16.097667,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:16.111106,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:16.125224,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:16.139524,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:16.158452,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:16.190510,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:16.210531,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:16.236967,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:16.261835,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:16.287360,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:16.312018,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:16.332867,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:16.353811,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:16.368699,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:16.385218,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:16.401086,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:16.415550,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:16.432373,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:16.449764,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:16.464555,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:16.479061,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:16.499538,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:16.523512,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:16.557665,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:16.586440,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:16.612834,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:16.639635,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:16.667693,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:16.688909,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:16.710325,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:16.736390,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:16.759643,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:16.780816,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:16.804496,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:16.826014,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:16.845544,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:16.863661,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:16.882804,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:16.902473,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:16.921501,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:16.938500,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:16.954293,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:16.971617,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:17.001764,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:17.021640,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:17.044760,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:17.060521,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:17.080028,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:17.102625,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:17.120135,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:17.136656,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:17.158820,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:17.175807,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:17.196119,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:17.217023,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:17.243231,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:17.262329,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:17.283621,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:17.301178,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:17.318363,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:17.334809,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:17.350310,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:17.365098,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:17.383359,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:17.400405,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:17.419063,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:17.434726,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:17.453390,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:17.470623,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:17.487503,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:17.506269,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:17.522639,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:17.540445,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:17.556975,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:17.575034,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:17.592530,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:17.610345,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:17.629761,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:17.653431,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:17.672401,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:17.694897,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:17.712928,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:17.729986,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:17.748197,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:17.768437,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:17.787245,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:17.805807,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:17.823896,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:17.841921,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:17.859192,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:17.882168,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:17.898158,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:17.917923,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:17.932867,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:17.949915,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:17.968364,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:17.990256,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:18.009820,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:18.030657,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:18.049752,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:18.068070,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:18.087354,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:18.114619,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:18.134375,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:18.152432,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:18.170330,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:18.188860,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:18.208113,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:18.225433,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:18.244202,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:18.263236,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:18.282072,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:18.301813,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:18.323862,,,HTML_SANITIZER,Removed tag: <sub>,
